Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17701166,"The House of Hades (Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",5,4.52,Disney Hyperion,Kindle Edition,608,2013,2013,2013/11/30,2013/11/27,"read-fantasy, year-2013","read-fantasy (#48), year-2013 (#32)",read,,,,1,,,0,,,,,
106126,"Bone, Vol. 2: The Great Cow Race (Bone, #2)",Jeff Smith,"Smith, Jeff",Steve Hamaker,"=""0439706394""","=""9780439706391""",5,4.28,Graphix,Paperback,132,2005,1993,2013/12/08,2013/12/02,"read-comics, year-2013","read-comics (#2), year-2013 (#34)",read,,,,1,,,1,,,unspecified,,
106134,"Bone, Vol, 1: Out from Boneville (Bone, #1)",Jeff Smith,"Smith, Jeff",Steve Hamaker,"=""0439706408""","=""9780439706407""",4,4.18,Graphix,Paperback,138,2005,1991,2013/12/03,2013/11/30,"read-comics, year-2013","read-comics (#1), year-2013 (#33)",read,,,,1,,,1,,,unspecified,,
8823218,"Halt's Peril (Ranger's Apprentice, #9)",John Flanagan,"Flanagan, John",,"=""""","=""""",3,4.39,PHILOMEL,Kindle Edition,416,2010,2009,2013/09/01,2013/07/15,"read-fantasy, year-2013","read-fantasy (#47), year-2013 (#29)",read,,,,1,,,0,,,,,
32193991,"A Águia do Império (Série da Águia, #1)",Simon Scarrow,"Scarrow, Simon",Safaa Dib,"=""9728839162""","=""""",4,4.08,Saída de Emergência,Paperback,304,2006,2000,2013/06/25,2013/06/17,"read-historical, year-2013","read-historical (#11), year-2013 (#27)",read,,,,1,,,0,,,,,
6662948,"The Siege of Macindaw (Ranger's Apprentice, #6)",John Flanagan,"Flanagan, John",,"=""""","=""""",4,4.34,Puffin,Kindle Edition,316,2009,2006,2013/06/16,2013/06/11,"read-fantasy, year-2013","read-fantasy (#23), year-2013 (#26)",read,,,,1,,,0,,,,,
18626857,The Adventures of Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",3,4.30,Public Domain Books,Kindle Edition,104,1999,1892,2013/11/10,2013/07/16,"read-classics, year-2013","read-classics (#10), year-2013 (#30)",read,,,,1,,,0,,,,,
19044335,"The Kings of Clonmel (Ranger's Apprentice, #8)",John Flanagan,"Flanagan, John",,"=""""","=""""",3,4.30,Random House Australia,Kindle Edition,419,2010,2008,2013/07/15,2013/07/09,"read-fantasy, year-2013","read-fantasy (#22), year-2013 (#28)",read,,,,1,,,0,,,,,
10676932,"O Mago: Espinho de Prata (The Riftwar Saga, #3)",Raymond E. Feist,"Feist, Raymond E.",Cristina Correia,"=""""","=""9789896373054""",3,4.08, Saída de Emergência,Paperback,385,2011,1985,2013/12/07,2013/05/16,"read-fantasy, year-2013","read-fantasy (#46), year-2013 (#25)",read,,,,1,,,1,,,unspecified,,
6432522,"Elric - Príncipe dos Dragões (Elric, #1)",Michael Moorcock,"Moorcock, Michael","Luís Rodrigues, Neil Gaiman","=""""","=""9789728839147""",4,3.89,Saída de Emergência,Paperback,192,2005,1972,2013/04/29,2013/04/26,"read-fantasy, year-2013","read-fantasy (#21), year-2013 (#22)",read,,,,1,,,1,,,unspecified,,
8436536,"O Mago: Mestre (The Riftwar Saga, #2)",Raymond E. Feist,"Feist, Raymond E.",Cristina Correia,"=""""","=""9789896372293""",4,4.22,Saída de Emergência,Paperback,414,2010,1982,2013/05/16,2013/05/10,"read-fantasy, year-2013","read-fantasy (#45), year-2013 (#24)",read,,,,1,,,1,,,unspecified,,
15980913,"The Sign of the Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",3,3.93,"Amazon Digital Services, Inc",Kindle Edition,184,2012,1890,2013/05/10,2013/05/07,"read-classics, year-2013","read-classics (#11), year-2013 (#23)",read,,,,1,,,0,,,,,
6703763,"The Sorcerer of the North (Ranger's Apprentice, #5)",John Flanagan,"Flanagan, John",,"=""""","=""""",4,4.27,,Kindle Edition,324,,2006,2013/06/11,2013/04/23,"read-fantasy, year-2013","read-fantasy (#20), year-2013 (#21)",read,,,,1,,,0,,,,,
2373424,Equador,Miguel Sousa Tavares,"Tavares, Miguel Sousa",,"=""""","=""9789895550135""",5,4.08,Oficina do Livro,Paperback,528,2003,2003,2013/03/14,2013/03/01,"read-historical, year-2013","read-historical (#10), year-2013 (#16)",read,,,,1,,,0,,,,,
9341202,Making Movies,Sidney Lumet,"Lumet, Sidney",,"=""0307763668""","=""9780307763662""",4,4.25,Vintage,ebook,240,2010,1995,2013/04/01,2013/03/07,"read-culture-nf, year-2013","read-culture-nf (#25), year-2013 (#17)",read,,,,1,,,0,,,,,
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",4,4.18,W.W. Norton & Company (NYC),Paperback,218,2005,1996,2013/04/04,2013/04/02,"read-broad-fiction, year-2013","read-broad-fiction (#13), year-2013 (#18)",read,,,,1,,,0,,,,,
